"ID","NAME","PRECISE_NAME","LAYER","STATE","COUNTRY"
306667,"ashland","ashland","micro","ME","US"
306717,"ashland","greater ashland","micro","ME","US"
264043,"ashland","ashland","micro","NC","US"
305030,"ashland","ashland","micro","OH","US"
1469,"ashland","ashland county","county","OH","US"
354109,"ashland","ashland","micro","IL","US"
186977,"ashland","ashland","micro","CA","US"
304934,"ashland","ashland county","macro","OH","US"
305049,"ashland","greater ashland","micro","OH","US"
262497,"ashland","ashland","micro","NY","US"
234259,"ashland","ashland","micro","PA","US"
261493,"ashland avenue","ashland avenue","micro","MO","US"
243051,"ashland city","ashland city","micro","TN","US"
243057,"ashland city","greater ashland city","micro","TN","US"
340513,"ashland estates - lakefield forrest","ashland estates - lakefield forrest","micro","GA","US"
312517,"ashland plantation - canterbury woods","ashland plantation - canterbury woods","micro","SC","US"
238302,"ashland ridge","ashland ridge","micro","MO","US"
504,"ashley","ashley county","county","AR","US"
354724,"ashley","ashley","micro","IL","US"
234080,"ashley","ashley","micro","PA","US"
312628,"ashley","greater ashley","micro","MI","US"
196002,"ashley","ashley","micro","OH","US"
196001,"ashley","greater ashley","micro","OH","US"
312640,"ashley","ashley","micro","MI","US"
354715,"ashley","greater ashley","micro","IL","US"
347520,"ashley courts","ashley courts","micro","GA","US"
172402,"ashley downs","ashley downs","micro","AR","US"
347406,"ashley downs","ashley downs","micro","GA","US"
295067,"ashley downs - pearson farms","ashley downs - pearson farms","micro","NC","US"
340545,"ashley estates","ashley estates","micro","GA","US"
265053,"ashley forest","ashley forest","micro","NC","US"
264494,"ashley forest - kingsley woods","ashley forest - kingsley woods","micro","NC","US"
295363,"ashley hills","ashley hills","micro","NC","US"
346652,"ashley manor - pine needles","ashley manor - pine needles","micro","GA","US"
213329,"ashley oaks","ashley oaks","micro","TN","US"
263791,"ashley park","ashley park","micro","NC","US"
262299,"ashley park","ashley park","micro","SC","US"
265243,"ashley park","ashley park","micro","NC","US"
259719,"ashley park","ashley park","micro","SC","US"
261644,"ashley place","ashley place","micro","NC","US"
295167,"ashlyn - laws","ashlyn - laws","micro","NC","US"
263606,"ashlyn creek","ashlyn creek","micro","NC","US"
345880,"ashmore","ashmore","micro","IL","US"
345882,"ashmore","greater ashmore","micro","IL","US"
340251,"ashmore lake","ashmore lake","micro","GA","US"
